iter	Passed	Remaining
628	1051	619
629	1069	628
630	1072	627
631	1074	625
632	1076	624
633	1078	622
634	1079	620
635	1081	619
636	1083	617
637	1085	615
638	1088	614
639	1089	612
640	1091	611
641	1093	609
642	1094	607
643	1097	606
644	1099	604
645	1100	603
646	1102	601
647	1103	599
648	1105	597
649	1107	596
650	1108	594
651	1110	592
652	1112	590
653	1114	589
654	1118	588
655	1119	587
656	1122	586
657	1125	584
658	1126	583
659	1128	581
660	1130	579
661	1133	578
662	1135	577
663	1137	575
664	1138	573
665	1140	572
666	1142	570
667	1143	568
668	1145	566
669	1147	565
670	1150	564
671	1152	562
672	1154	561
673	1156	559
674	1158	557
675	1160	556
676	1161	554
677	1163	552
678	1164	550
679	1166	548
680	1168	547
681	1169	545
682	1171	543
683	1173	542
684	1175	540
685	1176	538
686	1178	536
687	1180	535
688	1182	533
689	1185	532
690	1186	530
691	1188	528
692	1189	526
693	1190	525
694	1193	523
695	1194	521
696	1196	519
697	1198	518
698	1200	516
699	1201	515
700	1203	513
701	1205	511
702	1207	510
703	1208	508
704	1210	506
705	1211	504
706	1213	502
707	1214	501
708	1216	499
709	1217	497
710	1218	495
711	1220	493
712	1221	491
713	1224	490
714	1225	488
715	1227	486
716	1229	485
717	1230	483
718	1232	481
719	1233	479
720	1234	477
721	1236	476
722	1237	474
723	1239	472
724	1240	470
725	1242	468
726	1243	467
727	1245	465
728	1247	463
729	1248	461
730	1250	460
731	1251	458
732	1252	456
733	1254	454
734	1256	452
735	1257	451
736	1259	449
737	1260	447
738	1262	445
739	1263	443
740	1265	442
741	1267	440
742	1268	438
743	1269	436
744	1271	435
745	1273	433
746	1274	431
747	1276	429
748	1277	428
749	1279	426
750	1280	424
751	1283	423
752	1285	421
753	1286	419
754	1288	417
755	1289	416
756	1291	414
757	1293	412
758	1294	411
759	1296	409
760	1298	407
761	1299	405
762	1301	404
763	1302	402
764	1304	400
765	1306	399
766	1308	397
767	1310	395
768	1311	394
769	1313	392
770	1314	390
771	1316	388
772	1318	387
773	1320	385
774	1321	383
775	1323	382
776	1325	380
777	1326	378
778	1328	376
779	1329	375
780	1331	373
781	1332	371
782	1334	369
783	1336	368
784	1337	366
785	1338	364
786	1340	362
787	1341	360
788	1343	359
789	1344	357
790	1346	355
791	1348	354
792	1349	352
793	1350	350
794	1352	348
795	1353	346
796	1355	345
797	1357	343
798	1358	341
799	1360	340
800	1362	338
801	1363	336
802	1365	335
803	1367	333
804	1368	331
805	1369	329
806	1371	328
807	1373	326
808	1374	324
809	1376	322
810	1377	321
811	1379	319
812	1380	317
813	1382	315
814	1383	314
815	1385	312
816	1386	310
817	1388	308
818	1389	307
819	1391	305
820	1392	303
821	1394	301
822	1396	300
823	1397	298
824	1398	296
825	1400	294
826	1401	293
827	1403	291
828	1404	289
829	1406	288
830	1407	286
831	1409	284
832	1410	282
833	1411	281
834	1413	279
835	1414	277
836	1416	275
837	1417	274
838	1419	272
839	1420	270
840	1421	268
841	1423	267
842	1424	265
843	1425	263
844	1427	261
845	1428	260
846	1430	258
847	1432	256
848	1433	254
849	1434	253
850	1436	251
851	1437	249
852	1438	247
853	1440	246
854	1442	244
855	1443	242
856	1444	241
857	1446	239
858	1448	237
859	1449	235
860	1450	234
861	1451	232
862	1453	230
863	1454	228
864	1455	227
865	1457	225
866	1458	223
867	1459	222
868	1461	220
869	1462	218
870	1464	216
871	1465	215
872	1466	213
873	1468	211
874	1469	209
875	1470	208
876	1472	206
877	1473	204
878	1474	203
879	1476	201
880	1478	199
881	1479	197
882	1480	196
883	1482	194
884	1483	192
885	1484	191
886	1486	189
887	1487	187
888	1488	185
889	1490	184
890	1491	182
891	1492	180
892	1493	179
893	1495	177
894	1496	175
895	1497	173
896	1499	172
897	1500	170
898	1501	168
899	1502	166
900	1504	165
901	1505	163
902	1506	161
903	1508	160
904	1509	158
905	1510	156
906	1512	155
907	1513	153
908	1514	151
909	1516	149
910	1517	148
911	1518	146
912	1520	144
913	1521	143
914	1523	141
915	1524	139
916	1525	138
917	1527	136
918	1528	134
919	1529	133
920	1531	131
921	1532	129
922	1534	127
923	1535	126
924	1536	124
925	1537	122
926	1539	121
927	1540	119
928	1541	117
929	1543	116
930	1544	114
931	1545	112
932	1547	111
933	1549	109
934	1551	107
935	1552	106
936	1553	104
937	1555	102
938	1556	101
939	1558	99
940	1559	97
941	1561	96
942	1562	94
943	1564	92
944	1566	91
945	1567	89
946	1569	87
947	1570	86
948	1572	84
949	1573	82
950	1575	81
951	1576	79
952	1578	77
953	1580	76
954	1581	74
955	1582	72
956	1584	71
957	1585	69
958	1586	67
959	1588	66
960	1589	64
961	1591	62
962	1592	61
963	1593	59
964	1595	57
965	1596	56
966	1597	54
967	1599	52
968	1600	51
969	1601	49
970	1603	47
971	1604	46
972	1606	44
973	1607	42
974	1608	41
975	1610	39
976	1611	37
977	1613	36
978	1614	34
979	1615	32
980	1617	31
981	1618	29
982	1619	28
983	1621	26
984	1622	24
985	1623	23
986	1625	21
987	1626	19
988	1628	18
989	1629	16
990	1630	14
991	1632	13
992	1633	11
993	1634	9
994	1636	8
995	1637	6
996	1639	4
997	1640	3
998	1641	1
999	1643	0
